"oldName" "newName"
"tBodyAcc-mean()-X" "TimeDomainBodyLinearAccelerationXMean"
"tBodyAcc-mean()-Y" "TimeDomainBodyLinearAccelerationYMean"
"tBodyAcc-mean()-Z" "TimeDomainBodyLinearAccelerationZMean"
"tBodyAcc-std()-X" "TimeDomainBodyLinearAccelerationXStandardDeviation"
"tBodyAcc-std()-Y" "TimeDomainBodyLinearAccelerationYStandardDeviation"
"tBodyAcc-std()-Z" "TimeDomainBodyLinearAccelerationZStandardDeviation"
"tGravityAcc-mean()-X" "TimeDomainGravityLinearAccelerationXMean"
"tGravityAcc-mean()-Y" "TimeDomainGravityLinearAccelerationYMean"
"tGravityAcc-mean()-Z" "TimeDomainGravityLinearAccelerationZMean"
"tGravityAcc-std()-X" "TimeDomainGravityLinearAccelerationXStandardDeviation"
"tGravityAcc-std()-Y" "TimeDomainGravityLinearAccelerationYStandardDeviation"
"tGravityAcc-std()-Z" "TimeDomainGravityLinearAccelerationZStandardDeviation"
"tBodyAccJerk-mean()-X" "TimeDomainBodyLinearAccelerationDerivativeXMean"
"tBodyAccJerk-mean()-Y" "TimeDomainBodyLinearAccelerationDerivativeYMean"
"tBodyAccJerk-mean()-Z" "TimeDomainBodyLinearAccelerationDerivativeZMean"
"tBodyAccJerk-std()-X" "TimeDomainBodyLinearAccelerationDerivativeXStandardDeviation"
"tBodyAccJerk-std()-Y" "TimeDomainBodyLinearAccelerationDerivativeYStandardDeviation"
"tBodyAccJerk-std()-Z" "TimeDomainBodyLinearAccelerationDerivativeZStandardDeviation"
"tBodyGyro-mean()-X" "TimeDomainBodyAngularVelocityXMean"
"tBodyGyro-mean()-Y" "TimeDomainBodyAngularVelocityYMean"
"tBodyGyro-mean()-Z" "TimeDomainBodyAngularVelocityZMean"
"tBodyGyro-std()-X" "TimeDomainBodyAngularVelocityXStandardDeviation"
"tBodyGyro-std()-Y" "TimeDomainBodyAngularVelocityYStandardDeviation"
"tBodyGyro-std()-Z" "TimeDomainBodyAngularVelocityZStandardDeviation"
"tBodyGyroJerk-mean()-X" "TimeDomainBodyAngularVelocityDerivativeXMean"
"tBodyGyroJerk-mean()-Y" "TimeDomainBodyAngularVelocityDerivativeYMean"
"tBodyGyroJerk-mean()-Z" "TimeDomainBodyAngularVelocityDerivativeZMean"
"tBodyGyroJerk-std()-X" "TimeDomainBodyAngularVelocityDerivativeXStandardDeviation"
"tBodyGyroJerk-std()-Y" "TimeDomainBodyAngularVelocityDerivativeYStandardDeviation"
"tBodyGyroJerk-std()-Z" "TimeDomainBodyAngularVelocityDerivativeZStandardDeviation"
"tBodyAccMag-mean()" "TimeDomainBodyLinearAccelerationMagnitudeMean"
"tBodyAccMag-std()" "TimeDomainBodyLinearAccelerationMagnitudeStandardDeviation"
"tGravityAccMag-mean()" "TimeDomainGravityLinearAccelerationMagnitudeMean"
"tGravityAccMag-std()" "TimeDomainGravityLinearAccelerationMagnitudeStandardDeviation"
"tBodyAccJerkMag-mean()" "TimeDomainBodyLinearAccelerationDerivativeMagnitudeMean"
"tBodyAccJerkMag-std()" "TimeDomainBodyLinearAccelerationDerivativeMagnitudeStandardDeviation"
"tBodyGyroMag-mean()" "TimeDomainBodyAngularVelocityMagnitudeMean"
"tBodyGyroMag-std()" "TimeDomainBodyAngularVelocityMagnitudeStandardDeviation"
"tBodyGyroJerkMag-mean()" "TimeDomainBodyAngularVelocityDerivativeMagnitudeMean"
"tBodyGyroJerkMag-std()" "TimeDomainBodyAngularVelocityDerivativeMagnitudeStandardDeviation"
"fBodyAcc-mean()-X" "FrequencyDomainBodyLinearAccelerationXMean"
"fBodyAcc-mean()-Y" "FrequencyDomainBodyLinearAccelerationYMean"
"fBodyAcc-mean()-Z" "FrequencyDomainBodyLinearAccelerationZMean"
"fBodyAcc-std()-X" "FrequencyDomainBodyLinearAccelerationXStandardDeviation"
"fBodyAcc-std()-Y" "FrequencyDomainBodyLinearAccelerationYStandardDeviation"
"fBodyAcc-std()-Z" "FrequencyDomainBodyLinearAccelerationZStandardDeviation"
"fBodyAccJerk-mean()-X" "FrequencyDomainBodyLinearAccelerationDerivativeXMean"
"fBodyAccJerk-mean()-Y" "FrequencyDomainBodyLinearAccelerationDerivativeYMean"
"fBodyAccJerk-mean()-Z" "FrequencyDomainBodyLinearAccelerationDerivativeZMean"
"fBodyAccJerk-std()-X" "FrequencyDomainBodyLinearAccelerationDerivativeXStandardDeviation"
"fBodyAccJerk-std()-Y" "FrequencyDomainBodyLinearAccelerationDerivativeYStandardDeviation"
"fBodyAccJerk-std()-Z" "FrequencyDomainBodyLinearAccelerationDerivativeZStandardDeviation"
"fBodyGyro-mean()-X" "FrequencyDomainBodyAngularVelocityXMean"
"fBodyGyro-mean()-Y" "FrequencyDomainBodyAngularVelocityYMean"
"fBodyGyro-mean()-Z" "FrequencyDomainBodyAngularVelocityZMean"
"fBodyGyro-std()-X" "FrequencyDomainBodyAngularVelocityXStandardDeviation"
"fBodyGyro-std()-Y" "FrequencyDomainBodyAngularVelocityYStandardDeviation"
"fBodyGyro-std()-Z" "FrequencyDomainBodyAngularVelocityZStandardDeviation"
"fBodyAccMag-mean()" "FrequencyDomainBodyLinearAccelerationMagnitudeMean"
"fBodyAccMag-std()" "FrequencyDomainBodyLinearAccelerationMagnitudeStandardDeviation"
"fBodyBodyAccJerkMag-mean()" "FrequencyDomainBodyLinearAccelerationDerivativeMagnitudeMean"
"fBodyBodyAccJerkMag-std()" "FrequencyDomainBodyLinearAccelerationDerivativeMagnitudeStandardDeviation"
"fBodyBodyGyroMag-mean()" "FrequencyDomainBodyAngularVelocityMagnitudeMean"
"fBodyBodyGyroMag-std()" "FrequencyDomainBodyAngularVelocityMagnitudeStandardDeviation"
"fBodyBodyGyroJerkMag-mean()" "FrequencyDomainBodyAngularVelocityDerivativeMagnitudeMean"
"fBodyBodyGyroJerkMag-std()" "FrequencyDomainBodyAngularVelocityDerivativeMagnitudeStandardDeviation"
